employee_id,first_name,last_name,gender,province,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-57166514,Floris,Brizee,Female,Zuid-Holland,Leiden,2023-12-28,IT,IT Support Specialist,Bachelor,53373,Satisfactory,Yes,1999-01-31,
00-78495121,Elin,Hondeveld,Male,Noord-Holland,Amsterdam,2017-06-10,Marketing,Content Creator,High School,65584,Needs Improvement,Yes,1978-10-06,
00-81684250,Rik,Leene,Female,Zuid-Holland,Den Haag,2020-03-15,Operations,Logistics Coordinator,Bachelor,57512,Good,Yes,1987-07-16,
00-63056925,Jolijn,Bouhuizen,Male,Noord-Holland,Haarlem,2022-08-31,Sales,Sales Specialist,Bachelor,67857,Good,No,1980-02-09,
00-84689357,Zoey,Waltrade Walderade,Female,Noord-Holland,Haarlem,2024-02-23,Finance,Financial Analyst,Bachelor,72224,Good,No,1973-06-20,
00-91932582,Tobias,van der Meulen,Male,Noord-Holland,Haarlem,2020-12-22,Operations,Logistics Coordinator,Bachelor,59935,Good,No,1963-12-13,
00-55987725,Benthe,Sterkman,Female,Zuid-Holland,Leiden,2021-02-14,Marketing,Content Creator,High School,53991,Satisfactory,Yes,2002-06-12,
00-46643203,Ayden,die Pelser,Male,Noord-Holland,Haarlem,2017-12-05,Operations,Inventory Specialist,High School,68470,Good,No,1964-06-04,
00-38269460,Lise,Jerusalem,Female,Zuid-Holland,Leiden,2019-12-11,Customer Service,Support Specialist,Bachelor,60573,Good,No,1989-07-20,
00-12130654,Sofia,VI,Male,Zuid-Holland,Rotterdam,2024-02-26,Marketing,Marketing Coordinator,Bachelor,64337,Excellent,Yes,1999-07-29,
00-10274812,Yfke,van der Stael,Female,Utrecht,Amersfoort,2021-12-22,Sales,Sales Consultant,Bachelor,94456,Good,No,1977-07-24,
00-33291610,Niels,Spier,Male,Noord-Holland,Amsterdam,2019-06-22,Operations,Logistics Coordinator,Bachelor,69778,Excellent,No,1986-04-08,
00-75629343,Maxim,Jonkman,Female,Zuid-Holland,Leiden,2022-10-19,Customer Service,Help Desk Technician,Bachelor,79089,Good,No,1987-03-10,
00-97120361,Kayleigh,van Geest,Female,Utrecht,Utrecht,2022-05-04,Operations,Inventory Specialist,High School,65556,Good,No,1964-09-08,
00-69750614,Finn,van Orleans,Male,Zuid-Holland,Den Haag,2022-11-24,Operations,Inventory Specialist,High School,66937,Satisfactory,No,1981-10-09,
00-60516391,Imran,van der Zijl,Male,Noord-Holland,Alkmaar,2023-02-12,IT,Software Developer,Bachelor,108731,Good,No,1976-01-19,
00-33781587,Ayden,de la Fleche,Female,Limburg,Maastricht,2023-08-13,Finance,Accountant,Bachelor,55178,Excellent,Yes,1980-01-08,
00-26745522,Keano,van Ginneke,Male,Noord-Holland,Haarlem,2019-05-11,IT,IT Support Specialist,Bachelor,57272,Good,Yes,2003-10-12,
00-11256721,Nick,Claesner,Male,Zuid-Holland,Leiden,2017-08-10,Operations,Inventory Specialist,High School,56678,Satisfactory,Yes,1966-07-05,
00-47733231,Jordy,van der Avoirt,Female,Limburg,Maastricht,2022-03-22,Sales,Sales Specialist,PhD,101157,Good,No,1961-03-24,
00-35704262,Stella,Schilt,Male,Noord-Holland,Alkmaar,2016-03-12,Operations,Operations Analyst,Master,84859,Good,No,1959-11-05,
00-50691933,Dave,van der Maes,Male,Noord-Holland,Haarlem,2023-11-06,IT,Software Developer,Master,81412,Satisfactory,Yes,1970-02-22,
00-76277877,Ivy,Fredriks,Female,Utrecht,Amersfoort,2024-12-22,IT,IT Support Specialist,High School,58895,Excellent,No,1998-01-14,
00-76147579,Sem,Luitgardis van Neustrië,Female,Zuid-Holland,Rotterdam,2023-06-28,IT,Software Developer,Bachelor,95050,Excellent,No,1997-08-08,
00-38063091,Esther,van de Ven,Female,Overijssel,Enschede,2015-12-10,Operations,Inventory Specialist,Bachelor,63044,Good,No,1986-06-01,
00-24890990,Saar,Wolters,Male,Zuid-Holland,Den Haag,2023-05-25,Sales,Sales Specialist,Master,67258,Excellent,No,2001-01-03,
00-76305077,Julia,van Dagsburg,Male,Noord-Holland,Alkmaar,2017-05-15,Operations,Logistics Coordinator,Bachelor,67656,Good,No,1991-10-25,
00-85927914,Riley,Bakker,Female,Zuid-Holland,Den Haag,2022-04-14,Customer Service,Support Specialist,Bachelor,62606,Satisfactory,No,1983-03-04,
00-33559082,Pieter,Tammerijn,Male,Noord-Brabant,Eindhoven,2016-12-22,Operations,Inventory Specialist,High School,56160,Good,No,1991-05-04,
00-18730772,Norah,Fremie,Male,Noord-Holland,Haarlem,2016-03-19,Sales,Sales Representative,Bachelor,71725,Satisfactory,Yes,1992-05-20,
00-40596967,Pippa,van Gent,Male,Noord-Holland,Amsterdam,2023-09-27,Sales,Sales Consultant,PhD,95203,Good,No,1972-01-18,
00-46819677,Stef,van Geffen,Female,Zuid-Holland,Rotterdam,2017-04-16,Sales,Sales Consultant,Bachelor,85918,Satisfactory,No,1962-04-13,
00-81530199,Maartje,van Bruchem,Female,Zuid-Holland,Rotterdam,2021-09-23,Finance,Accounts Payable Specialist,Bachelor,61669,Satisfactory,No,1973-01-27,
00-70924933,Stef,Jansdr,Female,Utrecht,Utrecht,2015-11-01,IT,Software Developer,Master,104462,Needs Improvement,No,1994-08-16,
00-97245556,Esmee,François,Male,Utrecht,Nieuwegein,2016-02-22,Sales,Sales Representative,Bachelor,72295,Good,No,1961-05-03,
00-64609958,Mick,van Oirschot,Female,Zuid-Holland,Leiden,2017-12-26,HR,HR Assistant,High School,56035,Good,No,1996-09-19,
00-72624210,Ashley,Vertoor,Female,Noord-Holland,Alkmaar,2020-01-25,Customer Service,Help Desk Technician,Bachelor,86723,Good,No,1975-01-26,
00-15833729,Vera,de Bruin,Female,Utrecht,Utrecht,2023-02-02,Operations,Logistics Coordinator,Bachelor,63127,Needs Improvement,No,1976-10-04,
00-47303539,Simon,Scharroo,Male,Noord-Holland,Amsterdam,2024-05-31,IT,IT Manager,Master,105984,Good,No,1960-01-22,
00-52445278,Cornelia,van Leuven,Male,Zuid-Holland,Leiden,2015-09-16,Sales,Sales Manager,Master,85693,Good,Yes,1979-03-02,
00-20980204,Lily,Jacobi,Male,Noord-Holland,Haarlem,2023-03-14,IT,Software Developer,Master,77605,Needs Improvement,No,1976-06-15,
00-40283277,Merle,de Gruson,Male,Noord-Holland,Haarlem,2024-04-15,Sales,Sales Consultant,PhD,68730,Excellent,Yes,1978-08-30,
00-43552306,Aaliyah,Broeders,Male,Zuid-Holland,Rotterdam,2017-10-27,Sales,Sales Representative,Bachelor,65743,Satisfactory,No,1997-01-12,
00-18434795,Michael,Stoffelsz,Male,Gelderland,Arnhem,2021-06-29,Sales,Sales Consultant,Bachelor,74165,Satisfactory,No,1982-01-02,
00-74420002,Lana,van Loon,Male,Noord-Holland,Haarlem,2019-03-23,Operations,Logistics Coordinator,Bachelor,68731,Good,Yes,1989-01-20,
00-94060174,Lotte,Adriaansen,Male,Noord-Holland,Alkmaar,2024-02-26,Customer Service,Help Desk Technician,High School,55324,Good,No,1996-02-19,
00-24474127,Micha,van Noordeloos,Female,Noord-Holland,Haarlem,2019-02-15,Operations,Operations Analyst,Master,75456,Excellent,No,1970-09-02,
00-17305854,Isa,Simons,Male,Noord-Brabant,Eindhoven,2023-06-01,Finance,Accountant,Bachelor,79911,Good,Yes,1974-12-23,
00-41775196,Aaliyah,Pieters,Male,Utrecht,Nieuwegein,2024-01-11,IT,IT Support Specialist,High School,56232,Good,No,2002-08-01,
00-68858430,Lisa,Scherms,Male,Drenthe,Assen,2022-06-29,Sales,Sales Specialist,Bachelor,65395,Satisfactory,Yes,1987-10-04,
00-87703269,Yfke,Dircken,Male,Gelderland,Nijmegen,2016-08-06,Customer Service,Support Specialist,High School,57685,Good,No,2002-11-05,
00-60653117,Ravi,van Praagh,Female,Gelderland,Nijmegen,2018-07-25,IT,Software Developer,Bachelor,96971,Good,No,2002-05-25,
00-27117564,Noor,Rijcken,Female,Utrecht,Amersfoort,2016-08-17,Sales,Sales Representative,Bachelor,71437,Good,No,1985-03-14,
00-50462762,Willem,Henric van den Nuwenhuse,Male,Noord-Holland,Amsterdam,2021-05-16,Marketing,SEO Specialist,Bachelor,87885,Satisfactory,No,1971-07-16,
00-23667066,Kim,Bellemans,Male,Gelderland,Arnhem,2022-11-04,Customer Service,Help Desk Technician,High School,78496,Excellent,No,1989-04-14,
00-49583058,Jayden,Cornelissen,Male,Noord-Holland,Amsterdam,2023-02-23,HR,Recruiter,Bachelor,66675,Good,Yes,1984-11-18,
00-92852868,Valentijn,Huurdeman,Female,Utrecht,Nieuwegein,2022-05-11,Sales,Sales Consultant,PhD,109582,Good,No,1967-01-21,
00-90473708,Bram,Schakelaar,Male,Noord-Holland,Amsterdam,2023-05-12,Operations,Inventory Specialist,High School,56763,Good,Yes,1970-11-14,
00-70855827,Fleur,Willemsen,Male,Overijssel,Deventer,2018-01-18,Customer Service,Help Desk Technician,High School,87359,Needs Improvement,No,1977-09-28,
00-93111718,Mees,van der Heijden,Female,Zuid-Holland,Den Haag,2016-08-21,Operations,Logistics Coordinator,Bachelor,65687,Good,No,1988-03-23,
00-13485913,Dani,van den Assem,Female,Utrecht,Amersfoort,2019-03-12,Operations,Logistics Coordinator,Bachelor,55865,Satisfactory,Yes,1999-12-13,
00-35834405,Fenna,Le Grand,Male,Utrecht,Utrecht,2016-10-06,IT,Software Developer,Bachelor,83761,Good,No,2004-08-24,
00-19065665,Esmee,Kortman,Male,Gelderland,Arnhem,2020-07-17,Customer Service,Customer Service Manager,Bachelor,98266,Good,Yes,1989-02-25,
00-26908967,Nora,Tuithof,Female,Groningen,Groningen,2021-10-28,IT,Software Developer,Bachelor,82072,Excellent,Yes,1982-08-23,
00-66506603,Janne,Steinmeiern,Male,Zuid-Holland,Leiden,2019-04-09,IT,Software Developer,Bachelor,87080,Good,No,1984-04-24,
00-34954217,Jet,Woudenberg,Male,Noord-Holland,Amsterdam,2017-02-04,Sales,Sales Specialist,Bachelor,80073,Good,Yes,1999-11-30,
00-27137020,Elisa,Weylant,Female,Zuid-Holland,Leiden,2018-10-27,IT,IT Support Specialist,High School,61302,Good,No,1999-10-09,
00-97470361,Ali,Jacobi,Male,Zuid-Holland,Rotterdam,2022-07-08,Operations,Logistics Coordinator,Bachelor,63619,Good,No,1976-02-24,
00-82631078,Riley,van Salm,Female,Zuid-Holland,Den Haag,2023-05-30,Operations,Inventory Specialist,Bachelor,61722,Satisfactory,No,1975-09-07,
00-51429578,Selina,Kok,Female,Noord-Holland,Haarlem,2021-02-07,HR,Recruiter,Bachelor,54681,Satisfactory,Yes,1999-11-17,
00-11084726,Jari,van de Brink,Female,Utrecht,Amersfoort,2020-03-21,HR,Recruiter,Bachelor,63390,Good,Yes,1999-05-31,
00-29407935,Jonas,van den Velden,Male,Zuid-Holland,Den Haag,2016-11-04,Operations,Operations Analyst,Master,86331,Excellent,No,1986-10-16,
00-85088096,Joy,van der Zijl,Male,Utrecht,Amersfoort,2023-09-13,IT,System Administrator,Bachelor,102451,Good,No,1970-06-17,
00-36227100,Lynn,Heijmans,Female,Noord-Holland,Amsterdam,2024-06-01,Operations,Operations Analyst,Master,63485,Good,No,1995-07-10,
00-19180999,Sarah,Elbertse,Female,Noord-Holland,Alkmaar,2018-02-12,IT,Software Developer,Master,91807,Satisfactory,Yes,2003-02-05,
00-72733686,Hidde,Bellemans,Female,Zuid-Holland,Leiden,2020-06-24,Sales,Sales Specialist,Bachelor,60785,Satisfactory,No,1991-12-23,
00-87632976,Milo,Woudenberg,Female,Zuid-Holland,Den Haag,2020-02-20,IT,Software Developer,Master,105758,Good,No,1981-06-22,
00-50215871,Tijs,van den Nuwenhuysen,Male,Zuid-Holland,Den Haag,2019-10-05,Operations,Logistics Coordinator,Bachelor,60317,Excellent,No,1989-07-06,
00-70975394,Oscar,Kuijpers,Male,Zuid-Holland,Den Haag,2023-09-16,Operations,Operations Analyst,Master,78076,Needs Improvement,No,1966-02-15,
00-39448158,Bart,Hendriks,Male,Zuid-Holland,Rotterdam,2024-03-22,Operations,Inventory Specialist,High School,62092,Excellent,Yes,1994-03-02,
00-40906854,Nienke,Janssen,Male,Noord-Holland,Alkmaar,2019-09-08,Sales,Sales Representative,Bachelor,73593,Good,No,1973-02-17,
00-74524663,Mike,Hofman,Female,Noord-Holland,Alkmaar,2022-03-18,Sales,Sales Representative,Bachelor,61874,Satisfactory,Yes,2001-11-26,
00-60454028,Daniel,van Bunschoten,Male,Zuid-Holland,Leiden,2017-09-09,Customer Service,Support Specialist,High School,55808,Satisfactory,Yes,1983-06-12,
00-10902666,Loes,Heere,Female,Zuid-Holland,Rotterdam,2018-01-29,Finance,Accounts Payable Specialist,Bachelor,60473,Satisfactory,No,1993-03-13,
00-14028892,Liz,van Rossum,Male,Noord-Holland,Haarlem,2020-10-03,IT,Software Developer,Bachelor,96911,Good,Yes,2000-03-13,
00-69110577,Berend,Maas,Male,Noord-Holland,Haarlem,2017-02-09,Customer Service,Customer Service Representative,High School,64668,Needs Improvement,No,1964-11-29,
00-58306200,Louise,van de Wiel,Male,Drenthe,Emmen,2015-08-04,IT,Software Developer,Master,81117,Good,No,1975-02-23,
00-36551621,Vincent,Hendrikse,Female,Utrecht,Utrecht,2017-11-27,Sales,Sales Manager,PhD,124240,Good,No,1984-05-02,
00-33392072,Bilal,Dijkstra,Male,Noord-Brabant,Eindhoven,2018-04-20,Finance,Financial Analyst,Bachelor,92461,Good,Yes,1995-08-21,
00-33963425,Alexander,Gerritse,Female,Zuid-Holland,Leiden,2017-10-12,Operations,Inventory Specialist,High School,59244,Good,Yes,1979-10-07,
00-45136671,Selina,Mathurin,Male,Zuid-Holland,Den Haag,2024-08-02,Sales,Sales Representative,Bachelor,60090,Good,No,2001-08-06,
00-28420515,Jort,Leguit,Male,Zuid-Holland,Leiden,2018-09-02,Marketing,Marketing Coordinator,Bachelor,67064,Good,Yes,1989-11-25,
00-38217583,Bart,Galijn,Female,Zuid-Holland,Den Haag,2018-02-22,Customer Service,Help Desk Technician,High School,84550,Needs Improvement,No,1981-12-01,
00-59976005,Leah,Schiffer,Male,Utrecht,Nieuwegein,2022-12-12,Customer Service,Customer Service Representative,Bachelor,61752,Good,No,1983-01-28,
00-93644995,Philip,Wigman,Male,Noord-Holland,Amsterdam,2023-02-28,Sales,Sales Specialist,Master,68059,Good,No,1980-10-20,
00-25903904,Amber,Perrono,Male,Zuid-Holland,Den Haag,2017-07-03,Sales,Sales Representative,Bachelor,71271,Needs Improvement,Yes,1972-10-19,
00-35453201,Colin,Glasses,Male,Noord-Holland,Haarlem,2017-10-26,Customer Service,Support Specialist,Bachelor,65530,Good,Yes,1983-03-04,
00-60231696,Linn,Bastiaense,Female,Noord-Brabant,Tilburg,2018-07-12,Operations,Logistics Coordinator,Bachelor,55361,Good,No,1998-11-05,
00-42822896,Julia,Lonen,Male,Noord-Holland,Alkmaar,2024-12-17,IT,Software Developer,Bachelor,106948,Good,Yes,1999-07-17,
00-35380862,Jens,van der Loo,Male,Noord-Holland,Amsterdam,2023-01-02,IT,Software Developer,Bachelor,115283,Needs Improvement,No,1981-01-18,
00-29940314,Kate,Glasses,Male,Noord-Holland,Haarlem,2018-12-03,Operations,Inventory Specialist,High School,61962,Good,No,1970-07-07,
00-47590802,Selina,van de Darnau,Male,Zuid-Holland,Den Haag,2023-11-06,Operations,Inventory Specialist,High School,58399,Good,No,1985-06-09,
00-75631212,Willem,Zeemans,Male,Noord-Holland,Alkmaar,2017-09-12,Operations,Operations Analyst,Bachelor,88243,Good,Yes,1983-01-29,
00-73171894,Joey,van Este,Male,Noord-Holland,Alkmaar,2023-09-03,IT,System Administrator,Bachelor,106794,Satisfactory,No,1961-08-03,
00-32472549,Fabian,Langevoort,Male,Zuid-Holland,Rotterdam,2020-10-31,Finance,Accountant,Bachelor,73697,Good,No,1993-11-22,
00-78338099,Ruben,van Bruchem,Male,Utrecht,Utrecht,2018-03-19,Customer Service,Customer Service Representative,High School,62868,Good,No,1994-07-16,
00-34024774,Koen,le Gulcher,Female,Overijssel,Deventer,2018-02-11,IT,System Administrator,Master,84591,Satisfactory,No,1991-04-18,
00-74867032,Mohamed,Hoekstra,Female,Zuid-Holland,Den Haag,2022-06-19,IT,Software Developer,Master,91321,Satisfactory,No,1999-02-27,
00-46015375,Annemijn,Höning,Female,Noord-Holland,Haarlem,2020-06-29,IT,System Administrator,Master,74761,Good,Yes,1985-04-28,
00-88380820,Rafael,Sire,Male,Zuid-Holland,Rotterdam,2021-07-22,Operations,Operations Analyst,Master,63424,Good,No,2004-07-31,
00-37246265,Berat,Fechant,Female,Noord-Holland,Haarlem,2019-04-30,IT,IT Support Specialist,High School,58944,Good,Yes,1984-03-08,
00-39339153,Floris,de Jode Vastraedsd,Female,Zuid-Holland,Rotterdam,2018-04-14,Finance,Financial Analyst,Bachelor,70401,Excellent,No,1970-10-10,
00-31100279,Esmée,Thout,Male,Noord-Holland,Amsterdam,2024-09-07,Customer Service,Support Specialist,High School,59754,Satisfactory,No,1963-09-20,
00-83893835,Mila,van Gent,Male,Groningen,Groningen,2016-03-23,Sales,Sales Representative,Bachelor,80131,Good,No,1998-03-21,
00-69660493,Sil,Smeets,Female,Friesland,Drachten,2020-12-25,Operations,Logistics Coordinator,Bachelor,61555,Needs Improvement,No,1992-08-15,
00-15522109,Thijn,Lijn,Male,Gelderland,Apeldoorn,2019-11-08,Operations,Logistics Coordinator,Bachelor,64028,Needs Improvement,No,1991-12-31,
00-67190488,Quinty,van Ommeren,Male,Zuid-Holland,Leiden,2019-12-08,Operations,Logistics Coordinator,Bachelor,65257,Needs Improvement,No,1995-05-04,
00-59326617,Rick,Lambregt,Male,Noord-Holland,Amsterdam,2023-01-05,IT,System Administrator,Bachelor,74352,Good,Yes,1996-06-22,
00-61320957,Isis,van Tuijl,Female,Utrecht,Nieuwegein,2015-09-02,Sales,Sales Consultant,PhD,77964,Good,Yes,1990-10-21,
00-45651567,Senn,van Engelen,Female,Noord-Holland,Amsterdam,2021-07-10,Sales,Sales Representative,Bachelor,68448,Good,No,1993-03-27,
00-49529512,Ivy,Fortuyn,Female,Zuid-Holland,Den Haag,2023-02-13,Customer Service,Customer Service Manager,PhD,86679,Good,No,1962-11-04,
00-96389831,Senn,de Wit,Female,Utrecht,Amersfoort,2016-09-10,Marketing,Content Creator,Bachelor,64774,Good,Yes,1966-08-11,
00-23208247,Zoey,Govarts,Female,Gelderland,Apeldoorn,2016-09-27,Customer Service,Support Specialist,High School,55679,Good,Yes,1996-12-11,
00-83286377,Puck,Koster,Male,Noord-Holland,Amsterdam,2017-01-24,IT,System Administrator,Master,79693,Good,No,2001-03-27,
00-54190018,Zeynep,Manne,Male,Noord-Holland,Amsterdam,2017-05-04,Sales,Sales Representative,Bachelor,74117,Good,No,2002-09-02,
00-46838009,Emma,die Bont,Female,Zuid-Holland,Den Haag,2017-02-14,Customer Service,Customer Service Representative,Bachelor,60853,Good,No,1987-11-25,
00-82897088,Michelle,van Brunswijk,Female,Zuid-Holland,Den Haag,2024-09-21,IT,IT Support Specialist,High School,59329,Good,No,1963-06-30,
00-50194740,Mathijs,Scharroo,Female,Noord-Holland,Haarlem,2017-10-03,IT,System Administrator,Master,99263,Good,No,1989-05-12,
00-64198613,Lynn,de Werd,Male,Gelderland,Apeldoorn,2024-05-09,Sales,Sales Consultant,PhD,85916,Satisfactory,No,1972-03-10,
00-97954019,Isabel,die Pelser,Female,Friesland,Leeuwarden,2015-12-26,Sales,Sales Specialist,Master,83486,Satisfactory,No,1992-10-10,
00-30036175,Amélie,Schokman,Male,Noord-Holland,Amsterdam,2023-02-23,Sales,Sales Specialist,PhD,57492,Good,No,1983-04-04,
00-38168948,Twan,Hak,Male,Noord-Holland,Amsterdam,2019-02-14,Customer Service,Help Desk Technician,High School,71634,Good,Yes,1980-02-21,
00-84170763,Zakaria,van Wallaert,Female,Gelderland,Nijmegen,2022-03-26,Customer Service,Customer Service Representative,Bachelor,57367,Satisfactory,No,1991-11-01,
00-71928212,Suze,Hulskes,Female,Utrecht,Nieuwegein,2018-01-11,Sales,Sales Specialist,PhD,102636,Good,Yes,1984-08-09,
00-35212337,Kyra,Chotzen,Male,Zuid-Holland,Rotterdam,2019-10-30,Operations,Inventory Specialist,High School,63698,Good,Yes,1981-04-14,
00-38129989,Alyssa,Blonk,Male,Noord-Holland,Amsterdam,2019-12-20,Sales,Sales Consultant,PhD,92500,Needs Improvement,No,1988-10-06,
00-60291405,Ryan,Verboom,Female,Utrecht,Nieuwegein,2017-02-25,Customer Service,Support Specialist,Bachelor,57686,Good,No,1970-02-20,
00-11299382,Feline,Gerritse,Female,Zuid-Holland,Den Haag,2020-10-04,Operations,Logistics Coordinator,Bachelor,58713,Excellent,No,1983-02-11,
00-57601987,Indy,van den Eijssel,Male,Zuid-Holland,Rotterdam,2018-10-07,Operations,Logistics Coordinator,Bachelor,68835,Good,No,1975-11-18,
00-64139232,Lotte,van Luxemburg,Male,Zuid-Holland,Leiden,2022-03-15,Operations,Inventory Specialist,Bachelor,60532,Good,No,1997-06-07,
00-50216625,Indy,van Wassenaar,Female,Overijssel,Deventer,2018-06-28,Operations,Inventory Specialist,High School,54092,Needs Improvement,No,2000-06-26,
00-14323017,Luke,van der Pol,Female,Zuid-Holland,Rotterdam,2024-05-05,IT,IT Support Specialist,High School,58639,Good,No,1982-04-29,
00-86261289,Nina,van der Plas,Male,Noord-Brabant,Tilburg,2021-07-18,Operations,Operations Analyst,Master,81106,Excellent,No,1984-03-08,
00-87024699,Tirza,Borman,Male,Zuid-Holland,Leiden,2023-12-27,Customer Service,Help Desk Technician,High School,75747,Satisfactory,Yes,1997-06-24,
00-62430296,Nynke,Hendrikse,Female,Zuid-Holland,Leiden,2016-05-20,Sales,Sales Representative,Bachelor,64974,Good,No,1965-06-03,
00-73723578,Mohammed,de Bruyn,Male,Utrecht,Nieuwegein,2016-06-10,Customer Service,Customer Service Representative,High School,66615,Good,No,1965-04-15,
00-95765571,Ben,Bosch,Female,Zeeland,Vlissingen,2023-03-06,Sales,Sales Specialist,Bachelor,79463,Excellent,No,1974-11-26,
00-24000677,Inaya,Stinis,Male,Noord-Brabant,Breda,2022-11-19,IT,IT Support Specialist,High School,62366,Good,No,1987-01-06,
00-90982133,Jayson,van Tuijl,Female,Zuid-Holland,Den Haag,2019-06-06,Marketing,SEO Specialist,Bachelor,55894,Good,No,1982-01-15,
00-19326928,Milo,de Koning,Female,Utrecht,Amersfoort,2024-06-26,Sales,Sales Consultant,Master,91203,Satisfactory,Yes,2004-10-15,
00-37634396,Felix,van Susa,Female,Zuid-Holland,Den Haag,2017-08-29,Marketing,Content Creator,High School,58141,Good,No,1973-11-06,
00-19392480,Janne,van der Meer,Male,Noord-Holland,Haarlem,2019-07-28,IT,Software Developer,Master,81875,Satisfactory,No,1986-10-04,
00-11482715,Willem,Kisman,Male,Zuid-Holland,Rotterdam,2017-07-04,Customer Service,Customer Service Representative,High School,62949,Good,No,2001-11-13,
00-31076941,Sebastiaan,Roose,Female,Noord-Holland,Haarlem,2024-06-29,Marketing,Marketing Coordinator,Bachelor,58371,Good,No,2004-08-04,
00-66158469,Yinthe,de Gratie,Male,Drenthe,Meppel,2019-08-13,Sales,Sales Specialist,PhD,70241,Good,No,1965-11-11,
00-37713235,Pim,Schwartsbach,Male,Utrecht,Utrecht,2016-04-26,Operations,Inventory Specialist,Bachelor,63269,Satisfactory,No,1979-11-14,
00-68008992,Bart,Brouwer,Female,Utrecht,Utrecht,2023-02-16,Operations,Inventory Specialist,Bachelor,54265,Satisfactory,No,1966-09-28,
00-31311258,Rens,"West-Francië, van",Female,Noord-Holland,Alkmaar,2021-10-22,Marketing,SEO Specialist,High School,67482,Needs Improvement,No,1996-08-04,
00-37242553,Elise,Boddaugh,Male,Utrecht,Nieuwegein,2020-10-06,Customer Service,Help Desk Technician,Bachelor,62288,Good,Yes,1976-03-29,
00-46969062,Femke,Vos,Female,Noord-Holland,Amsterdam,2017-05-19,Finance,Financial Analyst,Bachelor,68016,Good,Yes,1970-12-03,
00-18585913,Thijn,Weerdenburg,Male,Groningen,Groningen,2023-12-28,Operations,Logistics Coordinator,Bachelor,70449,Good,No,1987-11-16,
00-43130320,Sjoerd,Weyland,Male,Noord-Holland,Haarlem,2020-01-21,Operations,Inventory Specialist,High School,65148,Satisfactory,Yes,1994-01-16,
00-71767610,Liam,Post,Male,Noord-Holland,Alkmaar,2019-03-27,Marketing,Marketing Coordinator,Bachelor,65003,Excellent,No,1970-12-22,
00-22227594,Milo,Flink,Male,Zuid-Holland,Leiden,2017-11-28,IT,IT Support Specialist,High School,59747,Excellent,No,1986-08-28,
00-49922892,Chris,Strijker,Female,Zuid-Holland,Rotterdam,2019-02-11,Sales,Sales Representative,Bachelor,54866,Good,Yes,1990-05-08,
00-43438309,Jelte,Bernaards,Female,Overijssel,Enschede,2017-07-15,Marketing,SEO Specialist,Bachelor,63444,Satisfactory,No,1978-05-20,
00-67992341,Benjamin,van Laon,Male,Zuid-Holland,Rotterdam,2019-08-28,IT,IT Support Specialist,High School,63903,Satisfactory,No,1999-05-13,
00-86318249,Sven,van den Berg,Female,Utrecht,Utrecht,2016-11-25,Customer Service,Help Desk Technician,Bachelor,54282,Satisfactory,No,1978-01-12,
00-42171352,Mads,Bertho,Male,Noord-Holland,Alkmaar,2023-09-11,IT,Software Developer,Master,95239,Good,No,2002-02-08,
00-94299900,Elize,Billung,Male,Noord-Holland,Amsterdam,2020-12-25,Operations,Operations Analyst,Master,78854,Good,No,1982-10-19,
00-39159454,Rowan,de Lange,Male,Noord-Holland,Alkmaar,2023-04-28,Customer Service,Help Desk Technician,High School,66811,Good,No,1995-03-20,
00-84198767,Dylano,van Spreuwel,Female,Gelderland,Apeldoorn,2016-02-06,IT,IT Support Specialist,High School,61689,Satisfactory,Yes,1972-12-09,
00-24123001,Isis,Matthews,Female,Noord-Holland,Alkmaar,2020-05-02,Customer Service,Help Desk Technician,High School,79013,Good,Yes,1986-10-06,
00-70523603,Amelia,Volcke,Male,Zuid-Holland,Rotterdam,2017-03-02,Operations,Logistics Coordinator,Bachelor,64008,Good,No,1996-05-19,
00-15990830,Micha,Wouters van Eijndhoven,Female,Noord-Brabant,Tilburg,2019-12-19,Operations,Inventory Specialist,High School,60076,Good,No,1982-12-09,
00-71995701,Joshua,van Waas,Female,Noord-Holland,Haarlem,2018-08-20,Operations,Logistics Coordinator,Bachelor,55625,Good,No,1973-10-16,
00-36092407,Zara,Eijkelboom,Male,Zuid-Holland,Den Haag,2019-11-02,Operations,Inventory Specialist,High School,60957,Satisfactory,Yes,1983-04-19,
00-25392453,Bibi,Miltenburg,Female,Noord-Holland,Amsterdam,2022-04-15,Operations,Logistics Coordinator,Bachelor,56655,Good,Yes,1975-05-12,
00-99965548,Boaz,Spreeuw,Male,Utrecht,Amersfoort,2022-12-29,Sales,Sales Representative,Bachelor,66041,Good,Yes,1988-03-05,
00-19158638,Sepp,Nihoe,Male,Gelderland,Nijmegen,2016-08-15,Operations,Inventory Specialist,High School,60797,Satisfactory,No,1975-05-09,
00-68750274,Veerle,Geerts,Male,Utrecht,Utrecht,2017-09-19,Sales,Sales Representative,Bachelor,68514,Satisfactory,No,1984-07-05,
00-31658249,Elisa,Genefaas,Male,Zuid-Holland,Den Haag,2017-08-04,Operations,Inventory Specialist,Bachelor,64320,Satisfactory,No,1999-10-04,
00-23490911,Mark,Dirksen,Male,Noord-Holland,Alkmaar,2017-07-26,Marketing,Content Creator,Bachelor,66652,Satisfactory,No,1963-10-03,
00-62458932,Azra,van Olst,Male,Gelderland,Arnhem,2017-06-05,IT,Software Developer,Master,84554,Needs Improvement,No,1978-11-14,
